year;age;catch;catch_weight;smb;stock_weight;maturity;smh;M
1902;7;0,00000000000000e+00;4000,0000000000000;NA;2496,0000000000000;8,68000000000000e-01;NA;0,2
1902;8;0,00000000000000e+00;4000,0000000000000;NA;3077,0000000000000;9,04000000000000e-01;NA;0,2
1902;9;0,00000000000000e+00;4000,0000000000000;NA;3300,0000000000000;9,63000000000000e-01;NA;0,2
1902;10;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;1,00000000000000e+00;NA;0,2
1902;11;0,00000000000000e+00;4000,0000000000000;NA;5741,0000000000000;1,00000000000000e+00;NA;0,2
1902;12;0,00000000000000e+00;4000,0000000000000;NA;6171,0000000000000;1,00000000000000e+00;NA;0,2
1902;13;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;1,00000000000000e+00;NA;0,2
1902;14;0,00000000000000e+00;4000,0000000000000;NA;5213,0000000000000;1,00000000000000e+00;NA;0,2
1902;15;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1902;16;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1902;17;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1902;18;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1902;19;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1902;20;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1902;21;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1902;22;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1903;0;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1903;1;0,00000000000000e+00;4000,0000000000000;NA;37,0000000000000;0,00000000000000e+00;NA;0,2
1903;2;0,00000000000000e+00;4000,0000000000000;NA;185,0000000000000;8,00000000000000e-02;NA;0,2
1903;3;0,00000000000000e+00;4000,0000000000000;NA;481,0000000000000;3,01000000000000e-01;NA;0,2
1903;4;0,00000000000000e+00;4000,0000000000000;NA;910,0000000000000;5,39000000000000e-01;NA;0,2
1903;5;0,00000000000000e+00;4000,0000000000000;NA;1409,0000000000000;7,22000000000000e-01;NA;0,2
1903;6;0,00000000000000e+00;4000,0000000000000;NA;1968,0000000000000;8,21000000000000e-01;NA;0,2
1903;7;0,00000000000000e+00;4000,0000000000000;NA;2496,0000000000000;8,68000000000000e-01;NA;0,2
1903;8;0,00000000000000e+00;4000,0000000000000;NA;3077,0000000000000;9,04000000000000e-01;NA;0,2
1903;9;0,00000000000000e+00;4000,0000000000000;NA;3300,0000000000000;9,63000000000000e-01;NA;0,2
1903;10;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;1,00000000000000e+00;NA;0,2
1903;11;0,00000000000000e+00;4000,0000000000000;NA;5741,0000000000000;1,00000000000000e+00;NA;0,2
1903;12;0,00000000000000e+00;4000,0000000000000;NA;6171,0000000000000;1,00000000000000e+00;NA;0,2
1903;13;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;1,00000000000000e+00;NA;0,2
1903;14;0,00000000000000e+00;4000,0000000000000;NA;5213,0000000000000;1,00000000000000e+00;NA;0,2
1903;15;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1903;16;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1903;17;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1903;18;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1903;19;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1903;20;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1903;21;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1903;22;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1904;0;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1904;1;0,00000000000000e+00;4000,0000000000000;NA;37,0000000000000;0,00000000000000e+00;NA;0,2
1904;2;0,00000000000000e+00;4000,0000000000000;NA;185,0000000000000;8,00000000000000e-02;NA;0,2
1904;3;0,00000000000000e+00;4000,0000000000000;NA;481,0000000000000;3,01000000000000e-01;NA;0,2
1904;4;0,00000000000000e+00;4000,0000000000000;NA;910,0000000000000;5,39000000000000e-01;NA;0,2
1904;5;0,00000000000000e+00;4000,0000000000000;NA;1409,0000000000000;7,22000000000000e-01;NA;0,2
1904;6;0,00000000000000e+00;4000,0000000000000;NA;1968,0000000000000;8,21000000000000e-01;NA;0,2
1904;7;0,00000000000000e+00;4000,0000000000000;NA;2496,0000000000000;8,68000000000000e-01;NA;0,2
1904;8;0,00000000000000e+00;4000,0000000000000;NA;3077,0000000000000;9,04000000000000e-01;NA;0,2
1904;9;0,00000000000000e+00;4000,0000000000000;NA;3300,0000000000000;9,63000000000000e-01;NA;0,2
1904;10;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;1,00000000000000e+00;NA;0,2
1904;11;0,00000000000000e+00;4000,0000000000000;NA;5741,0000000000000;1,00000000000000e+00;NA;0,2
1904;12;0,00000000000000e+00;4000,0000000000000;NA;6171,0000000000000;1,00000000000000e+00;NA;0,2
1904;13;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;1,00000000000000e+00;NA;0,2
1904;14;0,00000000000000e+00;4000,0000000000000;NA;5213,0000000000000;1,00000000000000e+00;NA;0,2
1904;15;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1904;16;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1904;17;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1904;18;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1904;19;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1904;20;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1904;21;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1904;22;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1905;0;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1905;1;0,00000000000000e+00;4000,0000000000000;NA;37,0000000000000;0,00000000000000e+00;NA;0,2
1905;2;0,00000000000000e+00;4000,0000000000000;NA;185,0000000000000;8,00000000000000e-02;NA;0,2
1905;3;0,00000000000000e+00;4000,0000000000000;NA;481,0000000000000;3,01000000000000e-01;NA;0,2
1905;4;0,00000000000000e+00;4000,0000000000000;NA;910,0000000000000;5,39000000000000e-01;NA;0,2
1905;5;0,00000000000000e+00;4000,0000000000000;NA;1409,0000000000000;7,22000000000000e-01;NA;0,2
1905;6;0,00000000000000e+00;4000,0000000000000;NA;1968,0000000000000;8,21000000000000e-01;NA;0,2
1905;7;0,00000000000000e+00;4000,0000000000000;NA;2496,0000000000000;8,68000000000000e-01;NA;0,2
1905;8;0,00000000000000e+00;4000,0000000000000;NA;3077,0000000000000;9,04000000000000e-01;NA;0,2
1905;9;0,00000000000000e+00;4000,0000000000000;NA;3300,0000000000000;9,63000000000000e-01;NA;0,2
1905;10;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;1,00000000000000e+00;NA;0,2
1905;11;0,00000000000000e+00;4000,0000000000000;NA;5741,0000000000000;1,00000000000000e+00;NA;0,2
1905;12;0,00000000000000e+00;4000,0000000000000;NA;6171,0000000000000;1,00000000000000e+00;NA;0,2
1905;13;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;1,00000000000000e+00;NA;0,2
1905;14;0,00000000000000e+00;4000,0000000000000;NA;5213,0000000000000;1,00000000000000e+00;NA;0,2
1905;15;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1905;16;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1905;17;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1905;18;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1905;19;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1905;20;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1905;21;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1905;22;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1906;0;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;NA;NA;0,2
1906;1;0,00000000000000e+00;4000,0000000000000;NA;37,0000000000000;0,00000000000000e+00;NA;0,2
1906;2;0,00000000000000e+00;4000,0000000000000;NA;185,0000000000000;8,00000000000000e-02;NA;0,2
1906;3;0,00000000000000e+00;4000,0000000000000;NA;481,0000000000000;3,01000000000000e-01;NA;0,2
1906;4;0,00000000000000e+00;4000,0000000000000;NA;910,0000000000000;5,39000000000000e-01;NA;0,2
1906;5;0,00000000000000e+00;4000,0000000000000;NA;1409,0000000000000;7,22000000000000e-01;NA;0,2
1906;6;0,00000000000000e+00;4000,0000000000000;NA;1968,0000000000000;8,21000000000000e-01;NA;0,2
1906;7;0,00000000000000e+00;4000,0000000000000;NA;2496,0000000000000;8,68000000000000e-01;NA;0,2
1906;8;0,00000000000000e+00;4000,0000000000000;NA;3077,0000000000000;9,04000000000000e-01;NA;0,2
1906;9;0,00000000000000e+00;4000,0000000000000;NA;3300,0000000000000;9,63000000000000e-01;NA;0,2
1906;10;0,00000000000000e+00;4000,0000000000000;NA;4000,0000000000000;1,00000000000000e+00;NA;0,2
1906;11;0,00000000000000e+00;4000,0000000000000;NA;5741,0000000000000;1,00000000000000e+00;NA;0,2
1906;12;0,00000000000000e+00;4000,0000000000000;NA;6171,0000000000000;1,00000000000000e+00;NA;0,2
